partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,21,43.3,477,926,15,12,9
La Libertad Avanza,18,45.3,1198,57,16,14,4
Unión Cívica Radical,12,38.2,658,57,0,8,4
Fuerza Patria,4,13.6,23,61,1,2,2
Alianza por Santa Cruz,2,51.3,86,72,2,2,0
Eco + Vamos Corrientes,2,54.5,164,6,0,2,0
Partido Renovador Federal,2,54.5,160,8,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,54.5,166,4,0,2,0
Frente Cívico por Santiago,2,0.0,0,0,0,2,0
Frente Cambia Mendoza,2,26.6,80,3,0,2,0
Fuerza Entre Ríos,1,49.4,18,58,1,0,1
Hacemos por Córdoba,1,46.2,43,13,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,48.7,60,7,9,0,1
